factor_id,factor_name,family,description,expression,input_metric_codes,standardization,neutralization,direction,lookback_days,unit,sign,scale,valid_from,valid_to,stage
investment_asset_growth,Asset growth investment factor,fundamental_investment,Year-over-year total asset growth; lower growth is generally more conservative.,method:identity|metric:assets_growth_yoy,"[""assets_growth_yoy""]",zscore_cs,"{""method"":""none"",""by"":[]}",-1,365,ratio,signed,zscore,1900-01-01,,s8_1
investment_capex_to_assets,Capex intensity investment factor,fundamental_investment,Capital expenditures scaled by total assets.,method:divide|numerator:capital_expenditures|denominator:assets,"[""capital_expenditures"", ""assets""]",zscore_cs,"{""method"":""none"",""by"":[]}",-1,0,ratio,signed,zscore,1900-01-01,,s8_1
leverage_debt_to_assets,Debt-to-assets leverage factor,fundamental_leverage,Total debt scaled by total assets; lower leverage is better.,method:divide|numerator:total_debt|denominator:assets,"[""total_debt"", ""assets""]",zscore_cs,"{""method"":""none"",""by"":[]}",-1,0,ratio,signed,zscore,1900-01-01,,s8_1
leverage_debt_to_equity,Debt-to-equity leverage factor,fundamental_leverage,Total debt scaled by common equity; lower leverage is better.,method:divide|numerator:total_debt|denominator:stockholders_equity,"[""total_debt"", ""stockholders_equity""]",zscore_cs,"{""method"":""none"",""by"":[]}",-1,0,ratio,signed,zscore,1900-01-01,,s8_1
quality_piotroski_f_score,Piotroski F-score,fundamental_quality,Nine-signal Piotroski F-score computed from PIT profitability leverage liquidity issuance and efficiency legs.,method:piotroski_f,"[""net_income"", ""operating_cash_flow"", ""assets"", ""roa_yoy_change"", ""debt_to_assets_change"", ""current_ratio_change"", ""shares_outstanding_growth"", ""gross_margin_change"", ""asset_turnover_change""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,365,score,bounded,zscore,1900-01-01,,s8_1
distress_altman_z_score,Altman Z-score,fundamental_distress,Altman Z-score from working capital retained earnings EBIT market value of equity debt and sales legs.,method:altman_z,"[""working_capital"", ""retained_earnings"", ""ebit"", ""market_cap"", ""total_debt"", ""revenue"", ""assets""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,0,score,signed,zscore,1900-01-01,,s8_1
accruals_sloan_working_capital,Sloan working-capital accruals,fundamental_accruals,Working-capital accruals scaled by average assets; lower accruals indicate higher earnings quality.,method:sloan_accruals,"[""delta_current_assets"", ""delta_cash_and_equivalents"", ""delta_current_liabilities"", ""delta_short_term_debt"", ""depreciation_expense"", ""average_assets""]",zscore_cs,"{""method"":""none"",""by"":[]}",-1,365,ratio,signed,zscore,1900-01-01,,s8_1
signal_revision_momentum,PIT revisions momentum,signal_native,As-of revision momentum from successive reported vintages of a metric.,method:revision_momentum,"[""revision_vintages""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,365,ratio,signed,zscore,1900-01-01,,s8_2
signal_standardization_delta,Standardization-delta anomaly,signal_native,Gap between standardized and raw tagged values scaled by raw magnitude.,method:standardization_delta,"[""standardization_delta""]",zscore_cs,"{""method"":""none"",""by"":[]}",-1,0,ratio,signed,zscore,1900-01-01,,s8_2
signal_segment_revenue_concentration,Segment revenue concentration,signal_native,Herfindahl concentration of reported segment revenue shares.,method:segment_hhi,"[""segment_revenue""]",zscore_cs,"{""method"":""none"",""by"":[]}",-1,0,score,bounded,zscore,1900-01-01,,s8_2
signal_footnote_disclosure_change,Footnote disclosure change,signal_native,Change in footnote disclosure count versus the prior comparable period.,method:footnote_change,"[""footnote_disclosure_count""]",zscore_cs,"{""method"":""none"",""by"":[]}",-1,365,ratio,signed,zscore,1900-01-01,,s8_2
